"year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
2022,12,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","451","137","49.23","8","27.96","3.89","47.92","5","0","9372","3409","777","1109","212","3865"
2022,12,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","54","19","7.24","4.04","3.71","0","4.01","3","0","1270","376","373","187","0","334"
2022,12,"B6","JetBlue Airways","IAH","Houston, TX: George Bush Intercontinental/Houston","85","30","12.67","0","14.54","0","2.78","0","0","1693","873","0","619","0","201"
2022,12,"DL","Delta Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","643","161","81.56","3.09","39.13","0","37.23","15","1","11447","7065","392","1548","0","2442"
2022,12,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","101","42","15.24","1.06","14.46","0","11.24","4","0","2566","832","234","780","0","720"
2022,12,"MQ","Envoy Air","IAH","Houston, TX: George Bush Intercontinental/Houston","77","23","1.97","3.41","9.57","0","8.05","0","0","1341","110","340","385","0","506"
2022,12,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston","776","266","89.47","5.66","107.82","1.52","61.52","32","0","17438","6161","202","5415","85","5575"
2022,12,"OO","SkyWest Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1104","249","140","20","5","0","84","16","6","21449","12044","1429","550","0","7426"
2022,12,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","5478","1226","467.44","30.67","300.62","0.55","426.71","89","12","92350","36649","2004","11708","17","41972"
2022,12,"WN","Southwest Airlines Co.","IAH","Houston, TX: George Bush Intercontinental/Houston","571","142","54.56","2.57","25.42","0","59.45","90","0","7621","2794","270","882","0","3675"
2022,12,"YV","Mesa Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1179","212","72.52","23","53.05","0","63.44","5","5","21465","9669","2497","2237","0","7062"
2022,12,"YX","Republic Airline","IAH","Houston, TX: George Bush Intercontinental/Houston","47","9","3.73","0","4.31","0","0.96","0","2","497","222","0","175","0","100"
2022,11,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","453","108","34.47","2.75","31.47","1","38.31","5","0","6438","1903","241","1245","25","3024"
2022,11,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","58","16","3.12","1.02","7.91","0","3.95","0","1","868","196","85","437","0","150"
2022,11,"B6","JetBlue Airways","IAH","Houston, TX: George Bush Intercontinental/Houston","89","36","10.8","0.8","21.69","0","2.72","0","1","1815","669","125","825","0","196"
2022,11,"DL","Delta Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","655","171","53.11","3.12","85.88","0","28.88","5","5","8898","4111","309","2793","0","1685"
2022,11,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","103","45","17.95","1.28","17.33","0","8.44","1","0","2692","1031","63","822","0","776"
2022,11,"MQ","Envoy Air","IAH","Houston, TX: George Bush Intercontinental/Houston","87","19","4.02","3.26","6.35","0","5.36","0","0","738","188","134","211","0","205"
2022,11,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston","800","211","50.91","2.66","113.92","2.04","41.47","13","1","12052","3897","182","4566","66","3341"
2022,11,"OO","SkyWest Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1017","168","119","12","3","0","34","1","2","12659","9003","1104","262","0","2290"
2022,11,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","5187","830","268.27","14.66","328.66","0","218.41","22","12","51128","20190","1537","11780","0","17621"
2022,11,"WN","Southwest Airlines Co.","IAH","Houston, TX: George Bush Intercontinental/Houston","531","89","33.24","0","21.89","0","33.87","5","0","4468","1725","0","999","0","1744"
2022,11,"YV","Mesa Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1328","208","50","12.08","83.13","0","62.79","11","8","15186","6011","864","4222","0","4089"
2022,11,"YX","Republic Airline","IAH","Houston, TX: George Bush Intercontinental/Houston","53","11","1.29","0","8.57","0","1.14","2","2","424","53","0","322","0","49"
2022,10,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","551","96","35.74","2.55","21.49","0","36.23","4","0","6189","2019","269","1273","0","2628"
2022,10,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","61","7","1.58","0","2.81","0","2.61","0","0","252","64","0","77","0","111"
2022,10,"B6","JetBlue Airways","IAH","Houston, TX: George Bush Intercontinental/Houston","64","18","8.96","0","7.5","0","1.54","0","1","913","646","0","205","0","62"
2022,10,"DL","Delta Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","669","121","51.5","1.17","46.73","0","21.6","3","3","6684","4101","30","1496","0","1057"
2022,10,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","162","62","18.36","0","22.88","0","20.76","2","1","3982","1288","0","863","0","1831"
2022,10,"MQ","Envoy Air","IAH","Houston, TX: George Bush Intercontinental/Houston","58","5","2.62","0","1.97","0","0.41","0","0","167","107","0","51","0","9"
2022,10,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston","775","121","48.64","3.32","36.73","0","32.32","11","0","9045","3653","133","2725","0","2534"
2022,10,"OO","SkyWest Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1077","96","58","7","5","0","26","1","2","7423","5298","431","360","0","1334"
2022,10,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","5463","537","194.84","5.05","173.64","0","163.47","34","10","29348","12895","298","5318","0","10837"
2022,10,"WN","Southwest Airlines Co.","IAH","Houston, TX: George Bush Intercontinental/Houston","519","97","39.07","0.02","9.07","0","48.83","5","2","4512","1791","4","438","0","2279"
2022,10,"YV","Mesa Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","1507","121","41.52","10","42.13","1","26.35","7","4","10625","6914","636","1337","15","1723"
2022,10,"YX","Republic Airline","IAH","Houston, TX: George Bush Intercontinental/Houston","57","7","1.26","0","1.12","0.13","4.48","1","2","523","116","0","26","23","358"
2022,9,"AA","American Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","550","136","44.26","8.14","26.8","0.18","56.61","7","0","9376","3586","563","1186","7","4034"
2022,9,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","60","14","9.27","0","4.17","0","0.56","0","0","490","374","0","102","0","14"
2022,9,"B6","JetBlue Airways","IAH","Houston, TX: George Bush Intercontinental/Houston","60","10","6.67","0","1.77","0","1.56","0","0","522","349","0","61","0","112"
2022,9,"DL","Delta Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","624","68","39.16","0","12.37","1","15.47","0","0","4191","2644","0","363","60","1124"
2022,9,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston","148","30","10.77","0.93","9.43","0","8.86","3","0","1371","503","70","366","0","432"
2022,9,"MQ","Envoy Air","IAH","Houston, TX: George Bush Intercontinental/Houston","44","8","1.97","1.58","2.71","0","1.74","1","0","384","110","67","139","0","68"
2022,9,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston","718","119","33.71","4.04","51.2","0","30.05","11","0","6987","1685","377","2805","0","2120"
